index,learning_rate,regularizers,dropouts,val_loss,val_accuracy
1,5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",1.176252007484436,0.6650000214576721
1,5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",1.2801673412322998,0.625
1,5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",1.1570494174957275,0.625
